"1","We've tried to go to this IHOP several times. Once, for dinner, we were warned by the staff it would be a long wait for our food, since there was only 1 cook. \nTonight, about 7:00pm, we tried again. It was practically empty & they said the manager was helping cook in the kitchen. After 45 minutes of waiting & 2 rounds of drink refills, we still didn't have our food. We had to get up and go to Denny's. \nSome of the other IHOP locations are just fine! Just not this one!!"
"1","I was unimpressed with pholicious because I called about 2 hours ahead and told them I would be there at a specific time to pick up my order. I called again 30 minutes before to let them know I was on my way. As I got there I had to wait another 30 minutes for my order. When it was finished it was tossed on the counter. I asked if that was my order and and was ignored. Then I signed the check and tried to give it to the cashier and he just kept walking away from me. So I checked the boxes to make sure it was my order (and it was) so I left. After I arrived to my destination and c\nWas getting everyone's pho ready. The beef was completely raw. Not rare. Raw!"
"2","Picture a Monday afternoon, the sun shining but it's still perfectly comfortable weather outside, and you have nothing you need to do. No, that's not a scene from a movie, I just got lucky while on vacation in Phoenix and had a taste of life after retiring. If I were to retire tomorrow, you bet I'd keep coming back to St. Francis for happy hour!\n\nAnyway, we sat in the covered patio area and had some drinks and snacks. The Dark&Stormy (cool name) and Santa Rosa were great drinks; I had more than a few of the Santa Rosa. For eats, the Baked Goat Cheese and House Baguette were a perfect combination.\n\nIt was nice, refreshing and relaxing."
"2","I visited Dr. LaTowsky today at Clear Dermatology & Aesthetics Center in Scottsdale, AZ and really have to say that it was, without question, the best medical service I have ever received from a doctor. Not only is Dr. LaTowsky very thorough in her services, she also has a warm, caring, and friendly manner. Unlike other dermatologists I've  met with over the years, I didn't feel she was in a hurry to see me and move on to the next patient. She was very thorough and skilled in her examination and treatment, making sure I was informed of what she was doing throughout the procedure.  She has a skilled aesthetician as part of her team and the office staff are each very personable. If you live or work in the Phoenix or Scottsdale area or are willing to travel here, you will not find a better dermatologist."
"1","In keeping with my practice of \""One Visit for a NOT so good Review\"" and \""Multiple visits for a GOOD Review,\""  I wish I could give this well appointed Restaurant a better Review. The service was terrific, with a knowledgeable Server,  but unfortunately the food left a lot to be desired. My salad was well dressed, although it could have had a few more ingredients (Romaine Lettuce and a single lonely cherry tomato) and my Shrimp Pasta had only three, relatively small forlorn shrimp atop some very nicely done Pasta, with an unremarkable sauce. VERY disappointing."
"2","I didn't bring lunch to work and I didn't have my car, so I ordered Planet Sub on a whim. I got the Tempeh Parmesan Sub and pasta salad...because I didn't know just how HUGE the sub was going to be; perfectly toasted and loaded with ingredients! \n\nThe pasta salad was alright...the noodles were a bit overcooked and mushy, but the flavor was there.\n\nAnother plus...I placed my order through GrubHub and received my food within 8 minutes. Impressive.\n\nI'm going to have to introduce this place to my boyfriend!"
"1","My best friend swears by this place and kept telling me it was one of her favorites from New York and they built one in Vegas.  So when we were in Vegas for a weekend, we decided to try this place out. \n\nHonestly, I don't know what the hype is all about.  I have to say that their hot dishes are amazing and their beef tongue and yellowtail collar dishes were the best of the night.  \n\nBut their maki rolls were TERRIBLE!  The size of the rolls were small and they were not good at all.  I don't understand why they have to charge an arm and a leg for terrible sushi.  \n\nWe also ordered their Sake Tataki (Salmon Tartare with a Quail Egg) which was average.  The dish was super small and nothing that special.  It's served with aged soy sauce that you mix with wasabi and scallions and honestly, there really was no taste to it. \n\nIf you want to go there for the hype and to check it out, I would only recommend to go for just the hot dishes like the beef dishes and the bone marrow (which was amazing).  But other than that, I would not go for the sushi.  \n\nWe didn't try their sashimi so I can't say anything about that but either way, I think I got food poisoning here too because my stomach did not feel well that night after eating dinner at this place. \n\nI normally like to eat at upscale restaurants and I'm used to having small dishes served at an expensive price but this place was definitely not worth it in my opinion. \n\nI would probably skip it.  There are plenty of other upscale nice restaurants in Vegas with better food for the same price.  Why pay so much for crappy food with small micro sized portions?"
"1","Im not judging this on the coffee at all.. this 2 stars goes to how slow this place is. \n\nI was once in the drive-thru for 20min..  when we pulled up, they gave us the coffee for free.  Ever since it seems I average 10min per visit.  That's hella long. \n\nTIP:  If you are going in the mornings before work. DO NOT use the drive thru...  go inside, it's much faster."
"2","Service was excellent. Our server was very  knowledgable about the menu items and helpful with our decisions. The wait was a bit long, but that's unavoidable sometimes. We were happy to wait and glad we did. The hummus appetizer is delicious. I will definitely be back!!"
"2","This place will literally bring tears to your eyes it is so good.  I tried to take pictures of the food, but every time I ended up remembering to reach for the camera, all I had left was a plate full of crumbs, a small jar of sauce, or a plain old rock.\n\nThe best thing to do here is to simply let them pick for you.  They will take your preferences, likes and dislikes, budget, and create something special for you.  It is a fusion feast taking the best of Japan, Brazil and Peru.  How does a little thin strip of Kobe beef sound, dipped in truffle oil, a little rock salt, and then cooked by you on a 550 degree Japanese river stone?  Or soft, fresh calamari dusted in a slightly spicy preparation that will leave you wondering where it all went?  \n\nIt is not cheap - but the quality is amazing and the service is spectacular.  I want to live here.  Actually, I'm not kidding."
"1","Good beer on tap.  Food was below average."
